app_id,year,maker,line,set,card_id,player,team,note
1,2021,Topps,Series 1,Base,1,Fernando Tatis Jr.,San Diego Padres,
2,2021,Topps,Series 1,Base,2,Roberto Osuna,Houston Astros,
3,2021,Topps,Series 1,Base,3,Matt Chapman,Oakland Athletics,
4,2021,Topps,Series 1,Base,4,David Bote,Chicago Cubs,
5,2021,Topps,Series 1,Base,5,Julio Urias,Los Angeles Dodgers,
6,2021,Topps,Series 1,Base,6,Justus Sheffield,Seattle Mariners,
7,2021,Topps,Series 1,Base,7,Dab on 'Em,Milwaukee Brewers,#NAME?
8,2021,Topps,Series 1,Base,8,Mauricio Dubon,San Francisco Giants,
9,2021,Topps,Series 1,Base,9,Max Fried,Atlanta Braves,
10,2021,Topps,Series 1,Base,10,Daulton Varsho,Arizona Diamondbacks,RC
11,2021,Topps,Series 1,Base,11,Max Kepler,Minnesota Twins,
12,2021,Topps,Series 1,Base,12,Joey Bart,San Francisco Giants,RC
13,2021,Topps,Series 1,Base,13,Mookie Betts,Los Angeles Dodgers,
14,2021,Topps,Series 1,Base,14,Do It for the Fans!,Chicago White Sox,#NAME?
15,2021,Topps,Series 1,Base,15,Mookie Betts,Los Angeles Dodgers,#NAME?
16,2021,Topps,Series 1,Base,16,Patrick Sandoval,Los Angeles Angels,
17,2021,Topps,Series 1,Base,17,Sean Doolittle,Washington Nationals,
18,2021,Topps,Series 1,Base,18,Shun Yamaguchi,Toronto Blue Jays,
19,2021,Topps,Series 1,Base,19,Jakob Junis,Kansas City Royals,
20,2021,Topps,Series 1,Base,20,J.D. Martinez,Boston Red Sox,
21,2021,Topps,Series 1,Base,21,Eric Sogard,Milwaukee Brewers,
22,2021,Topps,Series 1,Base,22,Pedro Severino,Baltimore Orioles,
23,2021,Topps,Series 1,Base,23,Nomar Mazara,Chicago White Sox,
24,2021,Topps,Series 1,Base,24,Nolan Arenado,Colorado Rockies,
25,2021,Topps,Series 1,Base,25,Sixto Sanchez,Miami Marlins,RC
26,2021,Topps,Series 1,Base,26,Bobby Dalbec,Boston Red Sox,RC
27,2021,Topps,Series 1,Base,27,Mike Trout,Los Angeles Angels,
28,2021,Topps,Series 1,Base,28,Luke Weaver,Arizona Diamondbacks,
29,2021,Topps,Series 1,Base,29,Chris Davis,Baltimore Orioles,
30,2021,Topps,Series 1,Base,30,Miguel Andujar,New York Yankees,
31,2021,Topps,Series 1,Base,31,Brandon Kintzler,Miami Marlins,
32,2021,Topps,Series 1,Base,32,Edward Olivares,Kansas City Royals,RC
33,2021,Topps,Series 1,Base,33,Yonathan Daza,Colorado Rockies,
34,2021,Topps,Series 1,Base,34,Roberto Perez,Cleveland Indians,
35,2021,Topps,Series 1,Base,35,Danny Santana,Texas Rangers,
36,2021,Topps,Series 1,Base,36,Charlie Morton,Tampa Bay Rays,
37,2021,Topps,Series 1,Base,37,Jose Quintana,Chicago Cubs,
38,2021,Topps,Series 1,Base,38,Mitch Moreland,San Diego Padres,
39,2021,Topps,Series 1,Base,39,New York Yankees,New York Yankees,#NAME?
40,2021,Topps,Series 1,Base,40,Joc Pederson,Los Angeles Dodgers,
41,2021,Topps,Series 1,Base,41,Deivi Garcia,New York Yankees,RC
42,2021,Topps,Series 1,Base,42,Kyle Lewis,Seattle Mariners,#NAME?
43,2021,Topps,Series 1,Base,43,Jo Adell,Los Angeles Angels,RC
44,2021,Topps,Series 1,Base,44,Walker Buehler,Los Angeles Dodgers,#NAME?
45,2021,Topps,Series 1,Base,45,Wade LeBlanc,Baltimore Orioles,
46,2021,Topps,Series 1,Base,46,Jesus Luzardo,Oakland Athletics,#NAME?
47,2021,Topps,Series 1,Base,47,Ketel Marte,Arizona Diamondbacks,
48,2021,Topps,Series 1,Base,48,Maikel Franco,Kansas City Royals,
49,2021,Topps,Series 1,Base,49,Starling Marte,Miami Marlins,
50,2021,Topps,Series 1,Base,50,Cody Bellinger,Los Angeles Dodgers,
51,2021,Topps,Series 1,Base,51,Sean Manaea,Oakland Athletics,
52,2021,Topps,Series 1,Base,52,Archie Bradley,Cincinnati Reds,
53,2021,Topps,Series 1,Base,53,Andres Gimenez,New York Mets,RC
54,2021,Topps,Series 1,Base,54,Joakim Soria,Oakland Athletics,
55,2021,Topps,Series 1,Base,55,Nick Senzel,Cincinnati Reds,
56,2021,Topps,Series 1,Base,56,Steven Matz,New York Mets,
57,2021,Topps,Series 1,Base,57,Will Smith,Los Angeles Dodgers,
58,2021,Topps,Series 1,Base,58,Washington Nationals,Washington Nationals,#NAME?
59,2021,Topps,Series 1,Base,59,Milwaukee Brewers,Milwaukee Brewers,#NAME?
60,2021,Topps,Series 1,Base,60,Yu Darvish,Chicago Cubs,#NAME?
61,2021,Topps,Series 1,Base,61,A Playful Bout of Juniors,Toronto Blue Jays,#NAME?
62,2021,Topps,Series 1,Base,62,Stephen Vogt,Arizona Diamondbacks,
63,2021,Topps,Series 1,Base,63,Ronald Guzman,Texas Rangers,
64,2021,Topps,Series 1,Base,64,Chris Taylor,Los Angeles Dodgers,
65,2021,Topps,Series 1,Base,65,Isaac Paredes,Detroit Tigers,RC
66,2021,Topps,Series 1,Base,66,Ryan Brasier,Boston Red Sox,
67,2021,Topps,Series 1,Base,67,Clayton Kershaw,Los Angeles Dodgers,
68,2021,Topps,Series 1,Base,68,Charlie Blackmon,Colorado Rockies,
69,2021,Topps,Series 1,Base,69,Gio Gonzalez,Chicago White Sox,
70,2021,Topps,Series 1,Base,70,Detroit Tigers,Detroit Tigers,#NAME?
71,2021,Topps,Series 1,Base,71,Randy Dobnak,Minnesota Twins,
72,2021,Topps,Series 1,Base,72,Shane Bieber,Cleveland Indians,#NAME?
73,2021,Topps,Series 1,Base,73,Colorado Rockies,Colorado Rockies,#NAME?
74,2021,Topps,Series 1,Base,74,Byron Buxton,Minnesota Twins,
75,2021,Topps,Series 1,Base,75,Kolten Wong,St. Louis Cardinals,
76,2021,Topps,Series 1,Base,76,Jon Gray,Colorado Rockies,
77,2021,Topps,Series 1,Base,77,Jack Flaherty,St. Louis Cardinals,
78,2021,Topps,Series 1,Base,78,David Peterson,New York Mets,RC
79,2021,Topps,Series 1,Base,79,Roman Quinn,Philadelphia Phillies,
80,2021,Topps,Series 1,Base,80,Liam Hendriks,Oakland Athletics,
81,2021,Topps,Series 1,Base,81,Brett Gardner,New York Yankees,
82,2021,Topps,Series 1,Base,82,Michael Lorenzen,Cincinnati Reds,
83,2021,Topps,Series 1,Base,83,Gavin Lux,Los Angeles Dodgers,#NAME?
84,2021,Topps,Series 1,Base,84,Pete Alonso,New York Mets,
85,2021,Topps,Series 1,Base,85,Brusdar Graterol,Los Angeles Dodgers,#NAME?
86,2021,Topps,Series 1,Base,86,Austin Meadows,Tampa Bay Rays,
87,2021,Topps,Series 1,Base,87,Jorge Alfaro,Miami Marlins,
88,2021,Topps,Series 1,Base,88,Albert Abreu,New York Yankees,RC
89,2021,Topps,Series 1,Base,89,Lucas Giolito,Chicago White Sox,
90,2021,Topps,Series 1,Base,90,Shane Bieber,Cleveland Indians,#NAME?
91,2021,Topps,Series 1,Base,91,Orlando Arcia,Milwaukee Brewers,
92,2021,Topps,Series 1,Base,92,Tarik Skubal,Detroit Tigers,RC
93,2021,Topps,Series 1,Base,93,Hunter Harvey,Baltimore Orioles,
94,2021,Topps,Series 1,Base,94,Josh Donaldson,Minnesota Twins,
95,2021,Topps,Series 1,Base,95,Gerrit Cole,New York Yankees,
96,2021,Topps,Series 1,Base,96,Brian Goodwin,Cincinnati Reds,
97,2021,Topps,Series 1,Base,97,Niko Goodrum,Detroit Tigers,
98,2021,Topps,Series 1,Base,98,Lourdes Gurriel Jr.,Toronto Blue Jays,
99,2021,Topps,Series 1,Base,99,Aaron Judge,New York Yankees,
100,2021,Topps,Series 1,Base,100,Christian Yelich,Milwaukee Brewers,
101,2021,Topps,Series 1,Base,101,Travis d'Arnaud,Atlanta Braves,
102,2021,Topps,Series 1,Base,102,Paul DeJong,St. Louis Cardinals,
103,2021,Topps,Series 1,Base,103,Daniel Johnson,Cleveland Indians,RC
104,2021,Topps,Series 1,Base,104,Kenta Maeda,Minnesota Twins,
105,2021,Topps,Series 1,Base,105,Shane Bieber,Cleveland Indians,#NAME?
106,2021,Topps,Series 1,Base,106,Brandon Nimmo,New York Mets,
107,2021,Topps,Series 1,Base,107,David Dahl,Colorado Rockies,
108,2021,Topps,Series 1,Base,108,DJ LeMahieu,New York Yankees,#NAME?
109,2021,Topps,Series 1,Base,109,Jean Segura,Philadelphia Phillies,
110,2021,Topps,Series 1,Base,110,Ian Happ,Chicago Cubs,
111,2021,Topps,Series 1,Base,111,Austin Riley,Atlanta Braves,
